ARTICLE CODE|DESCRIPTION|BRAND|BRAND DESCRIPTION|BAR CODE (EAN)|PROFIT CENTER|PROFIT CENTER DESCRIPTION|ARTICLE TYPE|ARTICLE TYPE DESCRIPTION|CATEGORY|CATEGORY DESCRIPTION|SUB CATEGORY|SUB CATEGORY DESCRIPTION|MERCHANDISE CATEGORY|MERCHANDISE CATEGORY DESCRIPTION|RETAIL PRICE|CURRENCY|ACTIVE STATUS|STORE ID|STORE DESCRIPTION|COUNTRY|REMARKS 1|REMARKS 2|REMARKS 3
40657|BVF MJN ELIXIR EDP 50ML TS|BVF|BVLGARI|783320406577|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
40658|BVF MJN BODY MIST 100ML TS|BVF|BVLGARI|783320406584|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|20|Bath and Body|120|Bathline (SG, BL, Scrub)|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
40659|BVF MJNLE BODY MIST 100ML TS|BVF|BVLGARI|783320406591|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|20|Bath and Body|120|Bathline (SG, BL, Scrub)|9140|REGULAR TESTER|0|IDR|N|||ID|FC00||
40660|BVF MJN EDP 10ML PS|BVF|BVLGARI|783320406607|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9060|PRE-SERIES|0|IDR|N|||ID|FC00||
40662|BVF JN L ESS EDP 10ML GWP|BVF|BVLGARI|783320406621|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9070|MINIATURE|0|IDR|Y|||ID|FC00||
40664|BVF MJNLE EDT 10ML GWP|BVF|BVLGARI|783320406645|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9040|GWP|0|IDR|Y|||ID|FC00||
40666|BVF MJNLE CREATIVE SAMPLING|BVF|BVLGARI|783320406669|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9120|VIAL|0|IDR|Y|||ID|FC00||
40667|BVF MJNLE CLUTCH GWP|BVF|BVLGARI|783320406676|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|50|Beauty Accessories|265|Beauty Accessories - Women|9040|GWP|0|IDR|Y|||ID|FC00||
40668|BVF JN EDT 1.5ML VIAL|BVF|BVLGARI|783320406683|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9040|GWP|0|IDR|Y|||ID|FC00||
40669|BVF JN SHOPPER BAG GWP|BVF|BVLGARI|783320406690|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|45|Fashion Accessories|255|Fashion Accessories - Women|9040|GWP|0|IDR|Y|||ID|FC00||
40670|BVF MJN EDP 50ML DUMMY|BVF|BVLGARI|783320406706|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40671|BVF MJN EDP 75ML DUMMY|BVF|BVLGARI|783320406713|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40672|BVF MJN GIANT DUMMY BOTTLE|BVF|BVLGARI|783320406720|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40673|BVF JN L ESS EDP 50ML DUMMY|BVF|BVLGARI|783320406737|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40674|BVF MJNLE EDT 50ML DUMMY|BVF|BVLGARI|783320406744|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40675|BVF MJNLE EDT 75ML DUMMY|BVF|BVLGARI|783320406751|BVF23|BVLGARI MON JASMIN NOIR L'EAU EXQUISE|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40676|BVF JN ELIXIR EDP 50ML DUMMY|BVF|BVLGARI|783320406768|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40677|BVF MJN EDP 50ML DUMMY|BVF|BVLGARI|783320406775|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9000|DISPLAY MATERIAL|0|IDR|N|||ID|FC00||
40678|BVF JN ELIXIR EDP 10ML GWP|BVF|BVLGARI|783320406782|BVF19|BVLGARI JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9120|VIAL|0|IDR|Y|||ID|FC00||
40679|BVF MJN ELIXIR EDP 10ML GWP|BVF|BVLGARI|2050000125157|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|10|Fragrance|110|Fragrance - Women|9040|GWP|0|IDR|Y|||ID|FC00||
40681|BVF JEWEL POUCH GWP|BVF|BVLGARI|783320406812|BVF22|BVLGARI MON JASMIN NOIR|ZPOS|LA: POS Material|50|Beauty Accessories|265|Beauty Accessories - Women|9040|GWP|0|IDR|Y|||ID|FC00||
